;;;;;Average CO2e;;
;Sample;soil;condition;biochar;7.12.;14.12.;21.12
;A1.1;peat;ae;control;309.2085446;230.1685586;-349.1147264
;A2;peat;ae;ws;348.2413253;221.347647;-337.6849563
;A3;peat;ae;ws950 (NEW WS800);388.583691;212.7038627;-347.639485
;A4;peat;ae;ss;328.7974649;215.7749061;-344.5137935
;B1.1;peat;an;control;106.0784953;69.50876809;-442.8306661
;B2;peat;an;ws;105.5482759;76.19776135;-434.5478558
;B3;peat;an;ws950 (NEW WS800);102.9747988;69.50751438;-449.995033
;B4;peat;an;ss;106.5438857;68.968623;-440.0812222
;C1.1;clay;ae;control;3.216761054;10.658469;-249.4845851
;C2;clay;ae;ws;73.008519;31.10978134;-248.8723115
;C3;clay;ae;ws950 (NEW WS800);108.3190557;37.55524657;-243.2933665
;C4;clay;ae;ss;41.36353168;28.32219209;-249.5824424
;GA1;peat;ae;control;336.91;;
;GA2;peat;ae;ws;314.76;;
;GA3;peat;ae;ws950 (NEW WS800);361.57;;
;GC1;clay;ae;control;63.22;;
;GC2;clay;ae;ws;87.64;;
;GC3;clay;ae;ws950 (NEW WS800);110.48;;